2.0934	2.0927	2.0962	2.0981	2.0934	2.0855	2.0460	2.0118	1.9830	1.9328	1.8832	1.8419	1.7671	1.6832	1.5836	1.4547	1.2680	1.3121	1.0719	0.9556	0.8902	0.8392	0.8004	0.7463	0.6967	0.6551	0.6052	0.5584	0.5175	0.4712	0.4312	0.4081	0.4418	0.6439
2.0927	2.1001	2.1127	2.1269	2.1351	2.1761	2.0868	2.0512	2.0681	1.9716	1.9219	1.9199	1.8045	1.7080	1.5954	1.4581	1.2657	1.2947	1.3566	1.1946	1.1225	1.0816	1.0819	0.9577	0.8928	0.8842	0.7769	0.7155	0.6999	0.6075	0.5439	0.5071	0.5565	0.6367
2.0962	2.1127	2.1510	2.2311	2.2402	0.0000	2.1680	2.1275	0.0000	2.0445	1.9951	0.0000	1.8962	1.7968	1.6297	1.4677	1.2650	1.2859	1.3303	1.1968	1.2029	1.1532	0.0000	0.9881	0.9127	0.0000	0.7998	0.7327	0.0000	0.6485	0.5815	0.5125	0.5482	0.6337
2.0981	2.1269	2.2311	0.0000	2.2535	2.2163	2.1015	2.0612	2.0840	1.9802	1.9356	1.9567	1.9010	0.0000	1.6907	1.4816	1.2658	1.2818	1.3418	1.2821	0.0000	1.1428	1.1672	0.9999	0.9252	0.9227	0.8054	0.7419	0.7494	0.6296	0.0000	0.5518	0.5521	0.6315
2.0934	2.1351	2.2402	2.2535	2.1802	2.1923	2.0867	2.0481	2.0717	1.9699	1.9203	1.9371	1.8437	1.8114	1.6972	1.4911	1.2662	1.2854	1.3665	1.3112	1.2087	1.1784	1.1235	0.9715	0.8981	0.9001	0.7826	0.7219	0.7227	0.6535	0.5765	0.5582	0.5621	0.6318
2.0855	2.1761	0.0000	2.2163	2.1923	0.0000	2.1311	2.0933	0.0000	2.0139	1.9626	0.0000	1.8548	1.7854	0.0000	1.5209	1.2656	1.2865	1.4314	0.0000	1.3115	1.1804	0.0000	1.0298	0.9479	0.0000	0.8330	0.7596	0.0000	0.6632	0.6209	0.0000	0.5922	0.6331
2.0460	2.0868	2.1680	2.1015	2.0867	2.1311	2.0397	2.0102	2.0430	1.9355	1.8826	1.8869	1.7690	1.6964	1.6463	1.4599	1.2435	1.2640	1.3409	1.2421	1.1745	1.0741	1.0786	0.9437	0.8772	0.8817	0.7646	0.7059	0.6999	0.6028	0.5623	0.5266	0.5555	0.6267
2.0118	2.0512	2.1275	2.0612	2.0481	2.0933	2.0102	1.9954	2.0461	1.9233	1.8577	1.8576	1.7403	1.6653	1.6185	1.4395	1.2276	1.2428	1.3203	1.2197	1.1546	1.0568	1.0611	0.9295	0.8684	0.8722	0.7590	0.6971	0.6892	0.5951	0.5528	0.5188	0.5499	0.6215
1.9830	2.0681	0.0000	2.0840	2.0717	0.0000	2.0430	2.0461	0.0000	1.9722	1.8895	0.0000	1.7632	1.6862	0.0000	1.4547	1.2147	1.2326	1.3706	0.0000	1.2217	1.1140	0.0000	0.9896	0.9197	0.0000	0.8081	0.7350	0.0000	0.6349	0.5832	0.0000	0.5737	0.6187
1.9328	1.9716	2.0445	1.9802	1.9699	2.0139	1.9355	1.9233	1.9722	1.8529	1.7919	1.7895	1.6756	1.6057	1.5626	1.3875	1.1864	1.2060	1.2833	1.1869	1.1229	1.0267	1.0365	0.9083	0.8494	0.8564	0.7424	0.6833	0.6774	0.5829	0.5427	0.5097	0.5407	0.6099
1.8832	1.9219	1.9951	1.9356	1.9203	1.9626	1.8826	1.8577	1.8895	1.7919	1.7446	1.7477	1.6400	1.5749	1.5315	1.3602	1.1629	1.1830	1.2599	1.1703	1.1096	1.0135	1.0197	0.8945	0.8375	0.8403	0.7319	0.6758	0.6701	0.5780	0.5390	0.5049	0.5340	0.6018
1.8419	1.9199	0.0000	1.9567	1.9371	0.0000	1.8869	1.8576	0.0000	1.7895	1.7477	0.0000	1.6586	1.5958	0.0000	1.3686	1.1439	1.1658	1.3058	0.0000	1.1994	1.0871	0.0000	0.9544	0.8854	0.0000	0.7777	0.7139	0.0000	0.6243	0.5850	0.0000	0.5605	0.5987
1.7671	1.8045	1.8962	1.9010	1.8437	1.8548	1.7690	1.7403	1.7632	1.6756	1.6400	1.6586	1.5777	1.5568	1.4673	1.2938	1.1064	1.1293	1.2126	1.1676	1.0798	1.0599	1.0164	0.8806	0.8204	0.8250	0.7191	0.6643	0.6672	0.6031	0.5341	0.5165	0.5228	0.5864
1.6832	1.7080	1.7968	0.0000	1.8114	1.7854	1.6964	1.6653	1.6862	1.6057	1.5749	1.5958	1.5568	0.0000	1.4030	1.2373	1.0675	1.0929	1.1550	1.1163	0.0000	1.0083	1.0357	0.8898	0.8265	0.8301	0.7252	0.6723	0.6799	0.5737	0.0000	0.5053	0.5067	0.5778
1.5836	1.5954	1.6297	1.6907	1.6972	0.0000	1.6463	1.6185	0.0000	1.5626	1.5315	0.0000	1.4673	1.4030	1.2835	1.1689	1.0234	1.0564	1.1167	1.0247	1.0405	1.0067	0.0000	0.8763	0.8106	0.0000	0.7173	0.6615	0.0000	0.5901	0.5320	0.4675	0.5016	0.5730
1.4547	1.4581	1.4677	1.4816	1.4911	1.5209	1.4599	1.4395	1.4547	1.3875	1.3602	1.3686	1.2938	1.2373	1.1689	1.0891	0.9708	1.0362	1.1343	1.0303	0.9906	0.9677	0.9782	0.8739	0.8180	0.8160	0.7222	0.6689	0.6561	0.5730	0.5147	0.4802	0.5214	0.5832
