2.1984	2.2023	2.2114	2.2215	2.2243	2.2226	2.1792	2.1425	2.1129	2.0512	1.9945	1.9449	1.8503	1.7519	1.6312	1.4877	1.2879	1.3200	1.0698	0.9438	0.8726	0.8202	0.7771	0.7191	0.6701	0.6260	0.5758	0.5310	0.4888	0.4427	0.4020	0.3814	0.4136	0.6007
2.2023	2.2123	2.2371	2.2685	2.2934	2.3611	2.2439	2.2047	2.2400	2.1116	2.0543	2.0625	1.9124	1.7927	1.6547	1.4948	1.2864	1.3016	1.3518	1.1792	1.1011	1.0565	1.0512	0.9248	0.8559	0.8441	0.7384	0.6787	0.6624	0.5721	0.5103	0.4758	0.5197	0.5928
2.2114	2.2371	2.3050	2.4313	2.4568	0.0000	2.3683	2.3226	0.0000	2.2260	2.1665	0.0000	2.0490	1.9216	1.7066	1.5134	1.2889	1.2953	1.3283	1.1834	1.1775	1.1222	0.0000	0.9565	0.8750	0.0000	0.7619	0.6938	0.0000	0.6121	0.5459	0.4790	0.5107	0.5883
2.2215	2.2685	2.4313	0.0000	2.4813	2.4391	2.2838	2.2343	2.2770	2.1378	2.0861	2.1292	2.0661	0.0000	1.8065	1.5386	1.2986	1.2968	1.3389	1.2668	0.0000	1.1130	1.1308	0.9626	0.8867	0.8799	0.7656	0.7019	0.7069	0.5928	0.0000	0.5165	0.5153	0.5865
2.2243	2.2934	2.4568	2.4813	2.3884	2.4124	2.2654	2.2179	2.2641	2.1241	2.0729	2.1063	1.9874	1.9606	1.8239	1.5590	1.2995	1.2995	1.3655	1.2918	1.1842	1.1452	1.0865	0.9345	0.8601	0.8576	0.7434	0.6832	0.6815	0.6140	0.5398	0.5201	0.5239	0.5861
2.2226	2.3611	0.0000	2.4391	2.4124	0.0000	2.3351	2.2854	0.0000	2.1923	2.1380	0.0000	2.0133	1.9295	0.0000	1.6073	1.3031	1.2999	1.4250	0.0000	1.2834	1.1453	0.0000	0.9882	0.9073	0.0000	0.7908	0.7201	0.0000	0.6225	0.5792	0.0000	0.5512	0.5870
2.1792	2.2439	2.3683	2.2838	2.2654	2.3351	2.2057	2.1651	2.2128	2.0752	2.0214	2.0450	1.8928	1.8063	1.7596	1.5285	1.2764	1.2772	1.3388	1.2266	1.1515	1.0436	1.0392	0.9057	0.8368	0.8386	0.7252	0.6636	0.6571	0.5646	0.5258	0.4906	0.5154	0.5807
2.1425	2.2047	2.3226	2.2343	2.2179	2.2854	2.1651	2.1292	2.1753	2.0421	1.9858	2.0083	1.8557	1.7689	1.7291	1.5032	1.2579	1.2601	1.3154	1.2041	1.1278	1.0251	1.0196	0.8908	0.8282	0.8263	0.7170	0.6571	0.6477	0.5547	0.5156	0.4819	0.5103	0.5759
2.1129	2.2400	0.0000	2.2770	2.2641	0.0000	2.2128	2.1753	0.0000	2.0924	2.0302	0.0000	1.9019	1.8108	0.0000	1.5360	1.2461	1.2442	1.3650	0.0000	1.1945	1.0774	0.0000	0.9501	0.8752	0.0000	0.7663	0.6944	0.0000	0.5921	0.5437	0.0000	0.5329	0.5725
2.0512	2.1116	2.2260	2.1378	2.1241	2.1923	2.0752	2.0421	2.0924	1.9616	1.9087	1.9282	1.7854	1.7045	1.6649	1.4486	1.2140	1.2151	1.2724	1.1685	1.0934	0.9923	0.9950	0.8680	0.8074	0.8086	0.7013	0.6423	0.6354	0.5430	0.5054	0.4728	0.5000	0.5636
1.9945	2.0543	2.1665	2.0861	2.0729	2.1380	2.0214	1.9858	2.0302	1.9087	1.8586	1.8809	1.7471	1.6670	1.6260	1.4162	1.1869	1.1893	1.2470	1.1458	1.0783	0.9791	0.9798	0.8548	0.7927	0.7935	0.6902	0.6331	0.6265	0.5398	0.5014	0.4688	0.4931	0.5555
1.9449	2.0625	0.0000	2.1292	2.1063	0.0000	2.0450	2.0083	0.0000	1.9282	1.8809	0.0000	1.7794	1.7093	0.0000	1.4330	1.1639	1.1677	1.2896	0.0000	1.1640	1.0437	0.0000	0.9100	0.8371	0.0000	0.7343	0.6693	0.0000	0.5806	0.5421	0.0000	0.5173	0.5512
1.8503	1.9124	2.0490	2.0661	1.9874	2.0133	1.8928	1.8557	1.9019	1.7854	1.7471	1.7794	1.6833	1.6655	1.5572	1.3368	1.1189	1.1238	1.1928	1.1380	1.0438	1.0160	0.9715	0.8350	0.7749	0.7766	0.6746	0.6212	0.6252	0.5626	0.4947	0.4791	0.4859	0.5413
